loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R),heartRateBPMTimestamp(txt),heartRateBPM(N),heartRateBPS(R),heartRateVariabilityTimestamp(txt),heartRateVariability(ms),label
2025-04-18T11:35:55.706+03:00,1744965352.97818,40.95357940565665,29.14101123988411,93.69504,-1,-1,-1,-1,30,22.06683002708428,-9999,64391.32256529167,-0.731842041015625,0.6365966796875,-0.19622802734375,64391.31249029167,1.075361031726619,-1.333738582017779,-0.6884819541695693,-0.003646899480372667,-0.05756069347262383,-0.02914827689528465,-0.03846269845962524,0.01685595512390137,-0.01904462277889252,XArbitraryZVertical,0.07042852010824124,-0.6358972704301661,0.5581034952898792,0.5283890389441012,-0.750615119934082,0.6353656649589539,-0.1813489645719528,0,0,0,-1,-1,64378.94930104167,unknown,2,2025-04-18T11:35:43.308+03:00,2025-04-17T15:44:39.500+03:00,7490,1.122643,0,0,6178.962,4,10,2025-04-18T11:35:40.728+03:00,766658153.7219963,0,107.81,100.5609,1,0.55,2025-04-18T11:25:57.919+03:00,77.00000000000001,1.283333333333333,2025-04-18T08:51:18.885+03:00,0.03057091307199995,1
2025-04-18T11:35:55.708+03:00,1744965352.97818,40.95357940565665,29.14101123988411,93.69504,-1,-1,-1,-1,30,22.06683002708428,-9999,64391.33264029167,-0.7502899169921875,0.6363677978515625,-0.196533203125,64391.32256529167,1.075082154157806,-1.334383520916911,-0.6882499195761761,-0.03754321485757828,-0.03840417787432671,-0.02224636077880859,0.01682066917419434,0.002920806407928467,-0.01653401553630829,XArbitraryZVertical,0.07060587308463837,-0.6360543421590833,0.5579647917648245,0.528322845658428,-0.7508752346038818,0.635186493396759,-0.180899366736412,0,0,0,-1,-1,64378.94930104167,unknown,2,2025-04-18T11:35:43.308+03:00,2025-04-17T15:44:39.500+03:00,7490,1.122643,0,0,6178.962,4,10,2025-04-18T11:35:40.728+03:00,766658153.7219963,0,107.81,100.5609,1,0.55,2025-04-18T11:25:57.919+03:00,77.00000000000001,1.283333333333333,2025-04-18T08:51:18.885+03:00,0.03057091307199995,1
2025-04-18T11:35:55.709+03:00,1744965352.97818,40.95357940565665,29.14101123988411,93.69504,-1,-1,-1,-1,30,22.06683002708428,-9999,64391.34271529167,-0.756927490234375,0.6358184814453125,-0.1982574462890625,64391.33264029167,1.074408210044348,-1.335090572906598,-0.6881560820599755,-0.06384965032339096,-0.02299512550234795,-0.01657409407198429,0.003487050533294678,0.0009486675262451172,-0.01508265733718872,XArbitraryZVertical,0.07062354675900773,-0.6362555694466115,0.557744682038177,0.5283105807867832,-0.7510609030723572,0.6351140141487122,-0.1803823262453079,0,0,0,-1,-1,64378.94930104167,unknown,2,2025-04-18T11:35:43.308+03:00,2025-04-17T15:44:39.500+03:00,7490,1.122643,0,0,6178.962,4,10,2025-04-18T11:35:40.728+03:00,766658153.7219963,0,107.81,100.5609,1,0.55,2025-04-18T11:25:57.919+03:00,77.00000000000001,1.283333333333333,2025-04-18T08:51:18.885+03:00,0.03057091307199995,1
2025-04-18T11:35:55.716+03:00,1744965352.97818,40.95357940565665,29.14101123988411,93.69504,-1,-1,-1,-1,30,22.06683002708428,-9999,64391.35279029167,-0.7422027587890625,0.6353607177734375,-0.1882476806640625,64391.34271529167,1.073492510378459,-1.335871283491352,-0.6881849457551993,-0.08091026544570923,-0.02901027351617813,-0.01138832233846188,-0.006521999835968018,0.0001482367515563965,-0.01831312477588654,XArbitraryZVertical,0.07053908048378714,-0.6364969716376241,0.557480496045648,0.5283100752268414,-0.7511838674545288,0.6351363062858582,-0.1797916889190674,0,0,0,-1,-1,64378.94930104167,unknown,2,2025-04-18T11:35:43.308+03:00,2025-04-17T15:44:39.500+03:00,7490,1.122643,0,0,6178.962,4,10,2025-04-18T11:35:40.728+03:00,766658153.7219963,0,107.81,100.5609,1,0.55,2025-04-18T11:25:57.919+03:00,77.00000000000001,1.283333333333333,2025-04-18T08:51:18.885+03:00,0.03057091307199995,1
2025-04-18T11:35:55.730+03:00,1744965352.97818,40.95357940565665,29.14101123988411,93.69504,-1,-1,-1,-1,30,22.06683002708428,-9999,64391.36286429167,-0.72491455078125,0.630767822265625,-0.1796722412109375,64391.35279029167,1.072412074463638,-1.336946643544395,-0.6882660390103705,-0.08421125262975693,-0.0512724369764328,-0.01575457490980625,0.006987512111663818,0.0006195902824401855,-0.00991666316986084,XArbitraryZVertical,0.0704647566049303,-0.6368271365433543,0.5571720529523967,0.5282474118850307,-0.7513265609741211,0.6351988911628723,-0.1789718270301819,0,0,0,-1,-1,64378.94930104167,unknown,2,2025-04-18T11:35:43.308+03:00,2025-04-17T15:44:39.500+03:00,7490,1.122643,0,0,6178.962,4,10,2025-04-18T11:35:40.728+03:00,766658153.7219963,0,107.81,100.5609,1,0.55,2025-04-18T11:25:57.919+03:00,77.00000000000001,1.283333333333333,2025-04-18T08:51:18.885+03:00,0.03057091307199995,1
2025-04-18T11:35:55.736+03:00,1744965352.97818,40.95357940565665,29.14101123988411,93.69504,-1,-1,-1,-1,30,22.06683002708428,-9999,64391.37293929167,-0.7338714599609375,0.6261444091796875,-0.1755828857421875,64391.36286429167,1.071359514666778,-1.338202084417069,-0.6884209554891697,-0.0773920938372612,-0.06180324032902718,-0.003741254564374685,0.02579259872436523,-0.003741979598999023,-0.001895308494567871,XArbitraryZVertical,0.07042172056334227,-0.6372110381413248,0.5568782740456051,0.5280999120313763,-0.7514548301696777,0.6353185772895813,-0.1780057549476624,0,0,0,-1,-1,64378.94930104167,unknown,2,2025-04-18T11:35:43.308+03:00,2025-04-17T15:44:39.500+03:00,7490,1.122643,0,0,6178.962,4,10,2025-04-18T11:35:40.728+03:00,766658153.7219963,0,107.81,100.5609,1,0.55,2025-04-18T11:25:57.919+03:00,77.00000000000001,1.283333333333333,2025-04-18T08:51:18.885+03:00,0.03057091307199995,1
2025-04-18T11:35:55.746+03:00,1744965352.97818,40.95357940565665,29.14101123988411,93.69504,-1,-1,-1,-1,30,22.06683002708428,-9999,64391.38301429167,-0.743804931640625,0.6288604736328125,-0.176116943359375,64391.37293929167,1.070377502548679,-1.339398027292948,-0.6886866770031709,-0.07748663425445557,-0.05977417901158333,-0.008109371177852154,0.01959973573684692,-0.008845269680023193,0.0008444786071777344,XArbitraryZVertical,0.07034310653204526,-0.6375874364478552,0.5566257243807663,0.5279223691489008,-0.7515029311180115,0.6355237364768982,-0.177068218588829,0,0,0,-1,-1,64378.94930104167,unknown,2,2025-04-18T11:35:43.308+03:00,2025-04-17T15:44:39.500+03:00,7490,1.122643,0,0,6178.962,4,10,2025-04-18T11:35:40.728+03:00,766658153.7219963,0,107.81,100.5609,1,0.55,2025-04-18T11:25:57.919+03:00,77.00000000000001,1.283333333333333,2025-04-18T08:51:18.885+03:00,0.03057091307199995,1
2025-04-18T11:35:55.758+03:00,1744965352.97818,40.95357940565665,29.14101123988411,93.69504,-1,-1,-1,-1,30,22.06683002708428,-9999,64391.39308929167,-0.741607666015625,0.6353912353515625,-0.1858062744140625,64391.38301429167,1.069487161893577,-1.340604036858158,-0.688763577543546,-0.05963832885026932,-0.07268937677145004,-0.01203150767832994,0.007542848587036133,-0.007683873176574707,0.0007051080465316772,XArbitraryZVertical,0.07036622645356119,-0.6379445739194647,0.5563624611051928,0.5277653791451549,-0.751668393611908,0.6355831027030945,-0.1761506348848343,0,0,0,-1,-1,64378.94930104167,unknown,2,2025-04-18T11:35:43.308+03:00,2025-04-17T15:44:39.500+03:00,7490,1.122643,0,0,6178.962,4,10,2025-04-18T11:35:40.728+03:00,766658153.7219963,0,107.81,100.5609,1,0.55,2025-04-18T11:25:57.919+03:00,77.00000000000001,1.283333333333333,2025-04-18T08:51:18.885+03:00,0.03057091307199995,1
2025-04-18T11:35:55.767+03:00,1744965352.97818,40.95357940565665,29.14101123988411,93.69504,-1,-1,-1,-1,30,22.06683002708428,-9999,64391.40316429167,-0.7443389892578125,0.6429595947265625,-0.1851959228515625,64391.39308929167,1.068771590795792,-1.341916848161221,-0.6887721784921932,-0.05356525629758835,-0.1052379980683327,-0.005543781910091639,0.009782373905181885,-0.0009766817092895508,-0.01004868745803833,XArbitraryZVertical,0.07049986827476357,-0.6383169714509583,0.556129034062545,0.5275431935354835,-0.7518935799598694,0.6355897784233093,-0.1751624196767807,0,0,0,-1,-1,64378.94930104167,unknown,2,2025-04-18T11:35:43.308+03:00,2025-04-17T15:44:39.500+03:00,7490,1.122643,0,0,6178.962,4,10,2025-04-18T11:35:40.728+03:00,766658153.7219963,0,107.81,100.5609,1,0.55,2025-04-18T11:25:57.919+03:00,77.00000000000001,1.283333333333333,2025-04-18T08:51:18.885+03:00,0.03057091307199995,1
2025-04-18T11:35:55.776+03:00,1744965352.97818,40.95357940565665,29.14101123988411,93.69504,-1,-1,-1,-1,30,22.06683002708428,-9999,64391.41323929167,-0.7518463134765625,0.643402099609375,-0.1825408935546875,64391.40316429167,1.068165380627604,-1.343290903376354,-0.6889558235535833,-0.05841900035738945,-0.09186879545450211,0.01603081822395325,0.008703112602233887,0.006861865520477295,-0.01193231344223022,XArbitraryZVertical,0.07062028717694424,-0.638718547853406,0.5559546138175113,0.5272247661485703,-0.7520198225975037,0.6357315182685852,-0.174102783203125,0,0,0,-1,-1,64378.94930104167,unknown,2,2025-04-18T11:35:43.308+03:00,2025-04-17T15:44:39.500+03:00,7490,1.122643,0,0,6178.962,4,10,2025-04-18T11:35:40.728+03:00,766658153.7219963,0,107.81,100.5609,1,0.55,2025-04-18T11:25:57.919+03:00,77.00000000000001,1.283333333333333,2025-04-18T08:51:18.885+03:00,0.03057091307199995,1
