,age,weight,height,bmi,pre_itug_duration,pre_itug_pc1_std,pre_itug_pc1_range,pre_itug_spectral_entropy,pre_itug_stride_frequency,pre_itug_num_strides,pre_isway_duration,pre_isway_pc1_std,pre_isway_pc1_range,pre_isway_spectral_entropy,pre_isway_sway_area,pre_isway_mean_distance,pre_isway_path_length,post_itug_duration,post_itug_pc1_std,post_itug_pc1_range,post_itug_spectral_entropy,post_itug_stride_frequency,post_itug_num_strides,post_isway_duration,post_isway_pc1_std,post_isway_pc1_range,post_isway_spectral_entropy,post_isway_sway_area,post_isway_mean_distance,post_isway_path_length,initial_rating,final_rating,chosen_pair_rating_diff,rejected_pair_rating_diff,computer_pair_rating_diff,cognitive_dissonance_score,timeout_count
count,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0
mean,20.693877551020407,64.3265306122449,168.81632653061226,22.345714285714287,21.454285714285714,8.852825618240493,30.51249311939702,0.08793280392236268,0.10819310757818297,1.6938775510204083,118.77816326530612,48.94611430155255,171.09720878585455,0.0596722070731287,843.0592493414732,42.35502818928375,212.75826972612185,19.684285714285714,8.130790007706976,27.998831376130497,0.09026374462739324,0.13557876611039674,1.7142857142857142,117.01285714285714,48.138308765568915,166.7531861632613,0.08409518813400157,776.0551187617957,41.68910368208588,210.7566282466288,5.487969185111585,5.288448306292408,-0.3072898138851138,-0.5013406911479263,-0.02040816326530612,0.9673066951527873,8.673469387755102
std,1.7224507931124993,14.761136692768108,9.936618869506022,3.3299618366181516,4.478025513549471,1.839753612589333,6.390793800971627,0.007194263112671369,0.11239233463448993,1.7464736093131241,22.948509453545253,9.231207366909244,28.411779504664022,0.1661106835356246,465.09387269651853,8.07465922702201,41.33966944369475,4.213371571556442,1.7375526096143519,6.007254916909733,0.010704575754915015,0.21326135666461601,2.1602468994692865,24.95043937488877,10.26111560021509,35.5057068657947,6.437754980284183e-05,378.77600947752865,8.887236674593975,53.49766885654302,0.6034471751673948,0.6892845058596547,0.3825967220231031,0.6182704316867712,1.298874447331986,0.7382589352243831,7.355235536399794
min,18.0,42.0,150.0,16.65,1.31,0.5409630097997297,1.8520387540696879,0.05694931379035938,0.0,0.0,57.85,23.80273673021738,82.53360914354957,-1.05422273934165,239.4432169926058,20.613336559851156,106.88071552445787,2.55,1.051040796729427,3.6194932641829975,0.08422894633208347,0.0,0.0,58.12,23.916262496661393,82.93116325171974,0.0839951274964165,207.76860691913947,20.71094889857542,104.95373745687739,4.258928571428571,3.455357142857143,-1.3181818181818181,-2.42,-3.0,0.09523809523809523,1.0
25%,20.0,54.0,162.0,19.56,19.44,8.017657463745111,27.6266541772964,0.08488965446822991,0.0,0.0,124.82,51.346834043912395,177.84902260491305,0.08409108416945914,468.6186579820116,44.46620287266555,195.93268755492318,17.84,7.380225772229074,25.442970524248913,0.08551563822019351,0.0,0.0,124.58,51.25181764606932,177.52015889685276,0.08408931342557156,510.1420220381811,44.41152268162632,196.83391004815599,5.120535714285714,4.910714285714286,-0.475,-0.7758620689655172,-1.0,0.5084745762711864,4.0
50%,21.0,60.0,168.0,22.09,21.78,8.971370685231712,30.983717845848467,0.0860668188729577,0.06218905472636817,1.0,126.65,52.10308863740995,180.46864621958525,0.08409468235673798,712.329618630673,45.12184332319555,216.70563199855525,19.9,8.247521980791914,28.269205398508653,0.08798811129758766,0.0655307994757536,1.0,126.25,51.93997030237101,179.90390404360937,0.08409276499627029,654.2761578327904,44.97983810794881,209.81639737905877,5.522321428571429,5.28125,-0.2830188679245283,-0.45454545454545453,0.0,0.8783783783783783,6.0
75%,22.0,72.0,177.0,24.31,24.15,9.969297222798245,34.31611959671373,0.09010471317686683,0.1758499413833529,2.0,129.25,53.16881584351731,184.16010173908091,0.08409988405364863,1034.9320074921666,46.04439279899077,242.43042761175587,22.01,9.082102906030777,31.258441131559792,0.09103270507846295,0.21680216802168023,3.0,128.26,52.76485904315825,182.76132087618637,0.08409614746135029,1025.3574538317441,45.694388633040774,232.15070744206628,5.794642857142857,5.6875,-0.11764705882352941,-0.12307692307692308,0.0,1.1132075471698113,11.0
max,25.0,104.0,187.0,31.92,28.2,11.629153881984022,40.17005906739955,0.11017584317220211,0.45766590389016015,6.0,139.83,57.527731922900465,199.26038187186396,0.20420576312322772,2176.4032411271237,49.819029247039275,318.5729592114825,26.64,11.004299473463243,37.7922513008003,0.14916658345728684,1.2345679012345678,7.0,140.25,57.69508922974659,199.84038495814448,0.08450912441553539,1880.8714826863265,49.96396273210419,485.56368213274357,7.107142857142857,7.138392857142857,0.6363636363636364,1.0784313725490196,4.0,3.7,35.0
